character,dialogue
HANK,um rv
WALT,absolutely appreciate offer turn insurance came
JESSE,frickin psycho ahh
MARIE,wait till see bedroom em move plasma know thats always wanted get shot get right got new bed
MARIE,want make breakfast
JESSE,heard kinda mom get wasted little kid take care
JESSE,
WALT,he still son mean remain
HANK,yes
SKYLER,yeah let sit
JESSE,
SKYLER,want help bad thing
JESSE,yeah yeah
SKYLER,whats name qualification walt
HANK,yes sir
JESSE,hell yeah im back vengeance nigga got ta make living cousin gone away
WALT,one fine
HANK,howd talk whore working
WALT JR,dunno
WALT JR,shit comeon isthe best wait wait
SKYLER,dont care walt
SKYLER,sixteen year
WALT,home andand needed diaper said id go excuse actually night brought money remember
SKYLER,need mow point id except always throw rock think need new bag
SKYLER,flynn
WALT JR,alright
JESSE,perfect moment drop dead
WALT JR,hang said
SKYLER,god havent forever
WALT,bin packed
MARIE,hey howd go last night
JESSE,know im moving slowly yeah absolutely im gon na need swatter thing come oh yeah okay come
WALT,
JESSE,mean much sold
SKYLER,well he certainly lot safer isnt
SKYLER,supposed compromise care
JESSE,found stuff internet take day kick keep quiet wont ever come back
GUS,wasnt man respect would dealing different way
JESSE,yeah ive heard yknow dont think ridiculous society say beer okay little hit something sweet wrong
WALT JR,uncle hank dead
