character,dialogue
HANK,I dunno.
SKYLER,Okay.
SAUL,Laser Tag!  Seven thousand square feet of rollicking fun in the heart of northern Bernalillo County!
SKYLER,Sure.
WALT,"Honestly, what I do would bore you senseless.  Giant space lasers? Now that sounds cool.  I’ll have to bring it up at our next staff meeting."
SKYLER,Not with that money!  You’d be making us accessories after the fact!
WALT,Pressure.  I’ve turned the ventilation up to keep the outside out.
HANK,... swung at me...
JESSE,"Hey, hey, hey stop marking on my floor, dumbass.  Come on."
WALT JR,What do you mean?
HANK,"I dunno, uh.  Four?"
JESSE,"So it’s, like, not dangerous?"
SKYLER,Get out of here.  Now.
JESSE,Chili P’s my signature!
WALT,"I’ve been to my oncologist, Jesse. Just last week."
SAUL,Uh-huh.
WALT,That truck belong to you?
JESSE,"This is... this is glass grade. You got... Jesus, you got crystals in here a quarter-inch long. Longer.  This is pure glass."
WALT,No... no... no...
WALT,Wanna cook?
MIKE,Is that so?
SAUL,Thirteen.
HANK,So says our snitch.  Says some dude who goes by “Cap’n Cook” lives up to his name in there.  Got himself a three pound flask and keeps it bubbling day and night.  Says he always adds a dash of chili powder.
JESSE,Here.  How ‘bout this?
JESSE,Who’s asking you to?
JESSE,"Yo, Kraze!  How you doin’, my man?"
WALT,We’re a family...
SKYLER,Where were you?
JESSE,"Uh, yeah, right.  Like you DON’T"
SKYLER,That’s a lie.  I um... I do know why.
MARIE,"Oh you know, this and that."
SAUL,"Over and above.  Service-wise, this is over and above.  You and I survive this?  Oh, I’m seriously rethinking my pricing.  Yeah."
JESSE,"Oh, hey.  Sorry..."
HANK,"... For those of you who donT'ht,e ask da e - he's ao ncyors"
WALT JR,What about him?
GUS,I apologize for being so transparent.
WALT,"Uh... okay to use your bathroom, right?"
JESSE,Alls I know is I got HALF the money I’m DUE and you got the rest!
WALT,"Now, murder is not part of your twelve-step program.  This is not some... amends you have to make. What you are talking about here is pointless.  This achieves nothing."
JESSE,Do what?
WALT,Get it.
WALT,For the man who has everything.
WALT,Yeah.
WALT,"Yeah.  Sixty-three fifty-three Juan Tabo, number six.  Got it."
JESSE,"WHAT fly?!  Alright, where the hell IS this fly?  Not like I even seen this thing!  Maybe your “positive pressure” blew it out the door or something!"
HANK,Gomie..?  That you..?
SKYLER,"Walt, I’m in this, and if I’m in it, I’m gonna do it right."
JESSE,Be my guest.
WALT JR,"Hey, Dad?"
MARIE,It’s some low-life degenerate versus you.  Doing the job you’re supposed to!  Why should you be the one who pays?  For doing the right thing?
MARIE,"Hank, what the hell are you talking about?"
SKYLER,You.  This is what you buy.
SAUL,"Sit.  Come on, come on.  Humor me for a second.  Now... you know you need to launder your money, right?"
WALT,Why did you invite me here?
MARIE,"You know what, I’m really beat.  I think I’m gonna take that bath."
JESSE,You’re right.  I don’t know what you’ve been through...
SKYLER,#NAME?
JESSE,How ‘bout we go get some air?
WALT,"Damn it!  Come on!  Come on, come on."
WALT,"But first, I’m curious about this..."
HANK,"Whoa, no heavy lifting.  I got it."
SKYLER,"I mean, he certainly knows we’re separated.  So..."
GUS,Are you asking me if I ordered the murder of a child?
WALT,So you’re promoting caution here. And you want a believable story.
JESSE,Can I have your chip?  I’m gonna steal your chip.
WALT,Uh.  No thanks though.  Maybe some other time.
JESSE,#NAME?
WALT,... yes?
SKYLER,"Okay, um, about a wine cellar?  I mean, we certainly cannot be expected to live without a wine cellar."
WALT,I could talk about that for hours.
WALT,"Okay?  Like you said, he’s the problem!  He’s ALWAYS been the problem!  Without him -- we would --"
MARIE,"I will go to 48 Hours, I will go to Nightline -- I don’t know if there is a Nightline anymore?  It doesn’t matter -- they will all take it and they will run with it.  Because he’s a hero.  And he’s not going to be in a wheelchair at 43."
SKYLER,They'll probably want me to take your glasses.•
MIKE,You know I haven’t slept since Thursday?  I was out all night cleaning up after you.  I need my sleep.
WALT,"My name is Walter Hartwell White. I live at 308 Belmont Avenue, Ontario, California 91764.  I am of sound mind.  To all law enforcement entities, this is not an admission of guilt.  I’m speaking now to my family."
SKYLER,Please?  It’s not safe.
WALT,"Hi, Honey, it’s me."
WALT,What’re you doing?
JESSE,"Careful -- it’s fragile.  And it’s a boiling flask, not a beaker."
MARIE,"Oh, my God."
SKYLER,"With all they’re giving him, he’ll sleep till morning."
JESSE,Tell me that ain’t the finest scante you ever laid eyes on.
WALT,Jesse!  Come here!
WALT,Nothing gets spilled.
WALT,"Now, the next order of business is getting you a brand new car seat."
HANK,But sometimes your luck can change. Can’t tell you how many times I started with a shit hand and ended up with a full house.  The key is to hang in there and keep placing your bets.
HANK,Do you have any ideas at all... who might’ve taken it?
JESSE,"Oh, uh, I got the funds."
JESSE,Okay.  15 hours starts... now.
WALT,"No, you don’t.  An Erlenmeyer flask is for general mixing and titration.  You do not apply heat to an Erlenmeyer flask.  That’s what the boiling flask is for. Did you not learn anything in my chemistry class?"
SAUL,"Hey, I may have overstated the, uh power of your face."
JESSE,"So, uh, what do we do?  I mean, do we -- wait, wait -- I mean, shouldn’t we be wearing MASKS?"
JESSE,"I took this, um, vo-tech class in high school.  Woodworking.  I took lots of vo-tech classes, ‘cause it was just a big jerk-off.  But this one time I had this teacher name of, ah... Mr., uh... Mr. Pike."
JESSE,Get off me!
WALT JR,"If all this is true and you knew it... then you’re as bad as him, right?"
WALT,There we go...  Say goodnight...
GUS,What about Pinkman?
SKYLER,"Some guy in Minneapolis.  Fourteen dollars plus shipping -- and I got it at a yard sale for eighty cents. God, I love eBay."
MARIE,He’s a hero!  You don’t deny coverage to a hero!
SKYLER,I’m not asking.  But there must be something you can say.  Isn’t it even worth a try?  Hank is your family.
SKYLER,"Walt.  I swear to you, I didn’t put him up to this."
WALT,That’s right.  He couldn’t.  He was angry because those two dealers of yours had just murdered an eleven year-old boy.
SAUL,Final step: integration.  The revenues from the salon go to the owner -- that’s you.
SAUL,"“Wax-on, wax-off” -- was that you?"
WALT,#NAME?
JESSE,"Nothing but cows.  Got some big cow-house way over that way, like two miles.  But I don’t see nobody."
WALT,Gale.  I’m wondering.  How you..?
JESSE,"Look.  Otherwise, you don’t haveta, you don’t gotta lift a finger."
WALT,You’re a drug dealer.  Negotiate.
SKYLER,"Walt, this is a good neighborhood. It’s got a good elementary, and supposedly a very good high school. And believe me, ‘cause I have definitely looked everywhere -- for our price range, this is as good as it gets."
HANK,Could be they’re setting up.  I heard movement inside.
SKYLER,"No!  God, no.  I-no.  God.  I’m just trying to, just talk it through.  That’s..."
MARIE,"I’ve tried, but he’s not answering. I’m sure he’s in the thick of it with your father."
HANK,"Oh, yeah?  Look at these."
SAUL,"Hey, what?  Hey...  Listen to it! Come on!  I’m talking about your future here!  Listen to reason!"
WALT,Please don’t do this.
SKYLER,"God, I know.  Anyway, I certainly wasn’t ready to move us back. But... it’s time.  And we’re driving my sister and her husband up a wall, I’m sure."
WALT,I know we’re not even talking about this.
JESSE,"So, is that your fly saber?"
SKYLER,"Ted, I’m...  I’ll see you in a day or two?  Back at the office?"
MARIE,Have you asked him?
SKYLER,"I don’t want him dicking you around tonight.  You get paid till six, you work till six.  Not seven."
JESSE,Thanks for the toke.
HANK,Yes.  Of course...
JESSE,Yeah.
HANK,"Jesus, whaddya got in this thing? Cinderblocks?"
WALT,I’ll be here with bells on.
MARIE,"So this is good news, right?"
JESSE,"It’s like rigid, all kinds of red tape.  My boss is a dick.  The owner?  Super-dick.  I’m not worthy or whatever to meet him but I guess everybody's scared of the dude."
WALT,Yeah.
WALT,"You say hello to her for me, would you?"
JESSE,"I just, uh, wanted to give you a heads up.  It’s gonna get a little slower smuggling product with, uh, Grandpa Anus watching every move I make."
WALT,"No, no.  It’s not about money... it’s about getting him off the streets.  Getting him to calm down..."
JESSE,"Nah.  Come on, man!  Some straight like you, giant stick up his ass... all a sudden at age, what, fifty he’s just gonna break bad?"
SKYLER,Thank God.
JESSE,El axe-o!  Peligroso!  El axe-o!
WALT,"Either that, or I turn you in."
SKYLER,No.  Your Dad is.
JESSE,"Whatever.  Just have him put in one of those, too."
HANK,I’d really like to speak with him.
HANK,Copy that.  The suspect... might he be of the Latin persuasion?
SKYLER,Yeah.  God knows he went through a lot down there.
WALT JR,Whatever.  I don’t even care anymore.  Can you just give me a ride to school?
SAUL,"Hey look.  Here’s you, right? Pink, Pinkman -- get it?"
HANK,#NAME?
WALT,It... got into the lab!  And I’m trying to get it OUT.  Okay? Understand?
SKYLER,"You’re not the only one this affects, Walt.  What about me and Walter, Jr.?  What about..."
SAUL,"No, that’s seventeen percent."
WALT JR,But I’m good?
WALT JR,How’s what?
WALT,Hey.
HANK,Nah.
WALT,I need you to come inside and pack. Right now.
WALT,What’s up?
WALT JR,Hey.
JESSE,"You tell me.  This is your deal, man.  You wanna smoke it up, smoke it up at your house."
SKYLER,"Come on now, let him speak.  That’s what we’re here for.  Go on, Hank."
WALT,Going back to your apartment?
WALT,Jesus H. Christ.
SKYLER,No.
WALT,What’s the yield?  Hey.
SAUL,Well.  You grow more gorgeous by the minute!
SKYLER,Dinner two nights.  Not weekends. With twenty-four hours’ notice.
WALT,"Look.  I feel like I’m running out of ways to explain this to you... but once more, I will try.  This fly is a major problem for us.  It will ruin our batch.  And we need to destroy it and every trace of it so we can cook.  Failing that? We’re dead.  There is no more room for error.  Not with these people."
WALT,#NAME?
JESSE,‘Cause like...  It’s like...
WALT,Don’t kill him!
WALT,That’s good.  That’s good.
WALT JR,Not so fast...
WALT,"No, don’t."
WALT,What’s up?
MARIE,We’ll see.
HANK,You had my cell phne number?  You had my wife’s name?!
SAUL,Yeah.  You are now owner of this fine establishment.
SKYLER,Hey!  Wh... what are you doing here?
SKYLER,Sweetie... what is it?  C’mon...
WALT,Yes.  Slow!  Move slowly...
JESSE,This doesn’t stay more than a day.
WALT,LISTEN TO ME!  Go to your room RIGHT NOW and grab whatever’s important.
SKYLER,"I don’t know, Walt.  Will you tell me?"
GUS,Why did you make these decisions?
JESSE,"Whatever, man.  You owe me that money!"
JESSE,"And the head hyena, he’s the MAN, you know.  All the other ones have to like, kiss his ass."
JESSE,"You’re not how I remember you from class.  I mean, like, not at all."
SAUL,Lemme talk to him.
SKYLER,"No, it’s not.  He’s gonna love it."
JESSE,"Look, I definitely got it, man, alright..."
HANK,... like that.
WALT,Doesn’t matter.  This doesn’t concern you.
SKYLER,"Yeah.  Holly here, and a son in high school -- Walter, Junior."
WALT,Let go.  Let... GO!
WALT JR,Eeewww...
HANK,Hey Janice?  Janice!
WALT,"Yeah, as a high school teacher. Can’t even remember the last time I set foot in a real lab.  I’ve been out of the loop for twenty years."
WALT,"I am at least going to be a part of this household.  Dinner with the family, every night of the week."
JESSE,Two-oh-one point six.
SKYLER,And he can’t get you another Danny to run the car wash.
JESSE,"I dunno.  Maybe it was the way he said it.  But...  Like he wasn’t exactly sayin’ it sucked -- he was just askin’ me honestly, Is that all you got?  And... for some reason, I thought to myself Yeah, man... I can do better."
SKYLER,Whose truck is that?
HANK,"Pain is my foot in your ass, Marie."
SAUL,Twelve for old time’s sake. Twelve.
WALT,Yeah.  I see you.
WALT,Yeah.
WALT,Anyone watching the place?
WALT,Please tell me you found him.
JESSE,"Hey.  Tick-tock, yo."
WALT,"Well, don’t keep me waiting."
WALT,Why?
JESSE,"What I look like, his shadow?  Who cares where he’s at?  What am I doing here?"
MARIE,It’s all gonna work out.  You’ve been too good to them for too many years.
JESSE,"Hey, ‘sup."
WALT,"Hey, Margaret."
WALT,Life and death.
SKYLER,Did you win the lottery and not tell me?
WALT,Alright.  It’s a deal.
WALT,"I couldn’t chance saying it inside. For all I know, the lab’s wired for sound."
SKYLER,Are you safe?
JESSE,"You don’t got, like, eight more anal things we gotta do first?"
MIKE,No... no...
SAUL,"Wait, wait, wait!  Hey!  Ladies, thank you, good job.  Come back here."
MIKE,I’m looking to find a client of yours.  I was hoping you could help me out with an address.
GUS,Please.
WALT,"Hank, you could just... cut to the chase."
WALT,Spillage?
JESSE,"You like that?  That’s science and stuff, makes it do that."
SKYLER,"After the first trimester, yes."
WALT JR,What?!
JESSE,"Wait, whoa... what?  You said the kid is coming home..."
WALT,How about something with playing cards in the spokes?  Makes a nice motor-y sound.
MARIE,Hey -- I wasn’t planning on agreeing with Walt.  But after hearing all of you talk about his future like he doesn’t even have a say in it --
JESSE,But it did.  No thanks to you...
MARIE,"Yes.  It happens all the time. Years of training, and your body acted faster than your brain, you had no choice but to hit him, you had to fight back --"
WALT,Yes.  Statistical... um.
WALT,I was curious.
JESSE,What happened..?
SAUL,"You’re now officially the ‘cute one’ of the group.  Paul, meet Ringo.  Ringo... Paul."
MIKE,"I’ll bet he’d come running -- BOOM,"
HANK,"Well, then, I’m curious as to why the theft was never reported.  I’m not seeing any record of it with the police or the DMV."
HANK,"Welded onto the back of a house. Well, that’s classy.  Christ. Okay.  Thanks."
SKYLER,Hello.
MIKE,Let’s both get comfortable.
WALT,You weren’t supposed to be here!
WALT,Hi.
SAUL,Gimme the phone.  Give it.
WALT,Hello.
JESSE,"Hey, you know what?  I have magical powers.  You wanna see?  Ready?"
WALT,How you holding up?
WALT,Take it.  It belongs to you.
GUS,"Explain to me -- why this man White?  He betrayed your cousin Tuco, yes... but he’s not the one who murdered him."
MARIE,It’s probably still on lock-out.
SKYLER,I know youre not. I asked her.
WALT,"Jesse. c'mon, help me out."
MARIE,"How could you do that to her, Walt?"
WALT,I’m okay.  Really.
JESSE,TOTALLY.  Uhn!  God.
JESSE,What do you mean?
HANK,"Oh, hey!  Turn it up!"
JESSE,Hello?
SKYLER,"I mean -- I, personally, feel that the decision you’re making is not in the best interest of our family unit.  In my opinion."
SAUL,You’re so sure.
JESSE,Y’know what?  Escalate this.
WALT,"Ah.  But I’m noting a little hole in your plot, though.  Why would your “estranged” husband be doing all this for you?"
JESSE,"Okay so, these guys using kids like that?  They gotta go.  Right?"
MIKE,My boss.
SKYLER,Walt?  We can always pay their bills.
WALT,“Thought anymore” meaning “reconsidered?”  No.
JESSE,You want me to get it?
SAUL,"what do I look like, the RV disposal people?  Did you not plan for this contingency?"
SKYLER,"Because he loves his family and desperately wants a reconciliation. Though it may be hopeless and futile... then again, he’d try anything."
JESSE,What the hell is that?
SKYLER,"Me, too."
SAUL,"Yeah, and if you want to stay a criminal and not become -- say, a convict -- then maybe you should grow up and listen to your lawyer."
JESSE,Two-oh-one point eight.
SAUL,"Whoa-whoa Walt.  Hold on there! Hey.  What was the offer, if I may ask?"
JESSE,"Yeah, well we’ll see about that."
SKYLER,"Marie, I’ve got nothing to say."
WALT,"That’s what you wanted, right?"
WALT,Yes.  I understand.
MARIE,I squeezed some orange juice.  You want a glass of orange juice?
GUS,So we try to clean them every night.  But make sure it’s off before you open the intake valve...
WALT,"No, I uh... nah."
SKYLER,Actually -- she asked the doctor.
WALT JR,"Hey Dad, it’s me."
SKYLER,I don’t know what to do.  I can’t believe he could be so stubborn -- and stupid.  Why would anyone in their right mind choose not to get treatment when it’s completely paid for?  Why would he do this to us?
HANK,I’m just not the man I thought I was.  I think I’m done as a cop.
MARIE,Everything changes now -- and you’ve got to prepare yourself.
JESSE,One teenth?!  That’s it?
WALT,Same time.
JESSE,"‘Sup?  Brock, huh.  That’s a cool name.  Here.  Give it up..."
WALT JR,Why won’t you tell me what’s --
SKYLER,"Well, I think this is um... we should probably table this discussion for later.  Your Dad and I have a couple things to talk about, so..."
WALT,"Oh, you’re never going to see Hank again.  He crossed me.  You think about that."
WALT,We ship it as-is.
SAUL,That’s a joke.  The kid ain’t coming.
WALT,"Excellent.  That’s very good, Jesse.  That’s excellent."
MARIE,Seeing what I see.
WALT JR,Who said anything about God?  It was some stupid air traffic controller! --
SKYLER,I can never find anything in this Buick.
SAUL,"I’ve heard about him.  Uh, he’s an American hero."
SKYLER,Whose loan-out?
GUS,I had excellent help.  As will you.
HANK,"So, um.  Where do we go from here?"
WALT,It’s a stupid present...
HANK,#NAME?
JESSE,"It’s not for you, dipshit -- it’s for our customers.  And they’re gonna demand a certain standard. That stuff just didn’t cut it."
WALT,"Look, Skyler, I don’t know what kind of relationship you picture me having with this person --"
SKYLER,"Hi, I hope we’re not too late."
WALT,"I don’t mean “jail” as in, jail jail.  I’m talking about one of those... situations where you’re in an orange jumpsuit, picking up litter along the highway."
SKYLER,A “warning call?”  What do you mean?
GUS,Some worthless junkie.  For him you “intervene” and put us all at risk. Some contemptible junkie who couldn’t keep the peace for eight hours.
MIKE,Huh.  I learn all kinds of things being with you.
SKYLER,Okay what?
SKYLER,"So, he put his mind to it, and uh... well, you know how Walt is, he’s-he’s a problem solver.  And he read books and he did a whole bunch of research... and he came up with this system."
SKYLER,What’s going on down there? Is he asleep?
HANK,"Yeah, that’s correct."
JESSE,This is bullshit.  Just say it. Just say the words.  You think I’m stealing?!
JESSE,Hey.  It’s me.  Wait for the thing.
SKYLER,Damned if I know.  I described it as a “mid-century objet d’art.”
MARIE,"Easy for you to say -- you’re not the one who has to do it.  I’m a medical professional -- I see people in this situation all the time.  Some of them don’t want to spend their last months dying slowly in a hospital, picked over by doctors -- unable to get out of bed or go to the bathroom by themselves.  Is that really what you want for Walt?"
WALT,“How could you have known that they were THERE before you took off the tape?”  Say it!  Say it!
WALT JR,He’s still here.  He’s in the house.
SKYLER,Go ahead.  Tell your dad how you feel.
SKYLER,Don’t get ‘em if they’re too tight.
JESSE,These chemicals are poisonous.
HANK,... a pipe...
JESSE,Yo.
JESSE,It’s not what I want.
HANK,Nothing’s gonna happen.
WALT JR,Um... are my feet okay?
WALT,"Alright, bring it down.  Ready? Okay, we’re good."
JESSE,#NAME?
WALT,I mean a fly.  A housefly.
SKYLER,What?!
JESSE,Yeah.  Thanks.
WALT JR,So which means pick me up about 8:30..?
GUS,That is very much the question.
SKYLER,How was your day?
JESSE,"This is the key.  We combine this with hydriodic acid and your pseudo, cook it, and -- voila -- freebase meth oil."
SKYLER,Wh-what’s a “Danny?”
JESSE,What about contamination?
JESSE,"High?  What, for our stuff?! That’s what I was getting!  Okay, look, say he’s getting forty a pound, alright, two hundred pounds a week for three months..."
SKYLER,"Ted, this has gotta be the most amazing invention ever."
JESSE,Hey!  Yo!
JESSE,"No, man.  Not really.  I can’t say as I’m really following you here."
MARIE,No.  Just remind me to bring his from home.
JESSE,"Andrea, right?"
MARIE,I wanna be there in case he wakes up.
JESSE,"Hey.  Um, my name’s Jesse, and, uh..."
SKYLER,#NAME?
HANK,"I mean, it’s a -- it’s a great way to get the family together for an affordable vacation.  Must’ve been quite a blow when it went missing."
WALT,Just move your jaw around.  Move it around.
WALT JR,“Yell”.
WALT JR,We were wondering if you could do us a favor and buy us a six of Bud Light.  We forgot our ID’s.
HANK,"Alright.  I’ll tell you what, we’re gonna check out a couple more, then call it a morning.  Okay, whaddaya say?"
WALT,"Okay.  Now, on three."
WALT,Hank?  How much money is that?
MARIE,I’m just seeing.
MIKE,Give me a hug.  I see your Mom. Don’t keep her waiting.
MARIE,It’s over.
JESSE,Get us a couple of flunkies in here.  Treat us right.
JESSE,Good?
JESSE,Sorry for what?  Being a lunatic?
SKYLER,"Hank, he just wants to be supportive--"
MARIE,What’s up with Walt lately?
WALT,No?
WALT,"Hank, work with me here.  Tell us you’ll let this drop."
MARIE,Hey...
SKYLER,"So, as you can see, there’s a kinda flow going on here.  It’s a nice big living room.  And this is the, um, dining area."
MARIE,You tell him or I will.  There’s no way around it.  He has to know and he has to know now.
JESSE,"You either run from things or you face them, Mr. White."
WALT JR,"Oh--damn!  Hell, yeah!"
JESSE,"That’s what James Bond drinks, mofos.  I’m all about that."
GUS,I told you before.  You will not kill Walter White.  Not until my business with him has concluded.
SAUL,"Okay.  Yeah... what exactly does “knows about” mean?  Does he have it, has he searched it --"
WALT,"Hi.  You’re my new lab assistant, I take it."
JESSE,"Look, I like making cherry product, but let’s keep it real, alright: we make POISON for people who DON’T CARE.  Alright?  We probably have the most UN-PICKY customers in the world."
HANK,"Marie, what is wrong with you?"
WALT,"Alright, ionic bonds.  Chapter six."
SKYLER,You want me to go ask for another?
WALT,Jesse... Jesse.
WALT,Chemicals.  No.  Change.  Chemistry is the study of change.
MARIE,"You can do this, Hank."
SKYLER,What?
GUS,How do you mean?
SAUL,Ten percent of all future profits from his solo venture.  That’s money you get paid for simply walking down to the mailbox! --
JESSE,You know it was Jane’s Dad who accidentally crashed them together? ‘Cause he was so torn up?
SAUL,I’ll call my P.I.
HANK,"You know what?  If it’ll get you outta here quicker, you’ve got one minute."
SAUL,"Danny runs the Laser Tag.  Danny is the guy who had a vision.  Where others saw a dirt lot, he saw black lights, rubber aliens, teenagers running around with ray guns, right?  He was like Bugsy Siegel in the desert.  And when the stock market took a shit and Danny got in trouble, he went searching for exactly the type of situation that we’re offering.  Okay, Danny will look the other way to keep his dream afloat.  In other words, Danny can be trusted.  Completely."
JESSE,You -- wanna cook crystal meth.
HANK,“All the same equipment?”  What the hell does that mean?
JESSE,What are you talking about?
JESSE,I heard you say five -- you said it right in front of me!
WALT,"Uh.  T-Thank you, I..."
JESSE,"Any other doors here we can check out?  Like, real ones, or...?"
WALT,What in god’s name is a Danny?
JESSE,I didn’t take shit.
MARIE,"Sky?  We got our first bill.  And, you know, if you’re still insistent..."
MIKE,Well.  They didn’t find any.
GUS,That’s very interesting.
WALT,An invitation.
GUS,"Well, that’s the best way to do business."
WALT JR,Aunt Marie’s coming to dinner?
SAUL,"Jesus.  Plan A, then.  Go!  Get to it before the feds do!"
MIKE,"I dunno, Walt.  It’s what I do, after all."
HANK,Wanna come meet a bad guy?
JESSE,"Hey.  You got a kid, right?  What’s his name?"
WALT JR,I looked it up -- New Mexico says all I need is a note from a doctor.
JESSE,"Hey, Martin."
SKYLER,I know you’re scared.  But you’re not alone.  We are gonna be there with you every step of the way.
WALT,I’ll give you Jesse Pinkman! --
SKYLER,"Tell him, not me."
SKYLER,I want you gone by Monday morning.
JESSE,Not like any vagina I ever saw.
MARIE,One minute?  Alright.  That’s a cakewalk.
JESSE,"Oh well, in that case I’ll only have two.  And-and I want the tall, skinny glasses.  I like those skinny glasses."
HANK,"Gomie!  Time for the little bird to fly the nest, huh?"
JESSE,I know a woman who buys from these two once or twice a week.  Alright?
MARIE,I will.
WALT,"This is punitive, is what this is! We are happily married!  I --"
JESSE,"Hey, they gotta go, alright?  I got the entire thing figured out."
JESSE,Hey.  It’s me.  Wait for the thing.
JESSE,You take cream and sugar?
JESSE,"Mr. White, I understand that the fly is a serious thing now, alright.  I’m onboard.  I’m just saying, you know, maybe if we went and got some air, it would help us come up with a plan on how to catch it.  Then come back down here and subtract his ass."
SKYLER,Okay.
MIKE,I’m making inquiries.
SKYLER,"Not every night, no."
HANK,You’re okay..?
SKYLER,"Okay.  Stan, this is my husband Walt."
WALT,"Ah, the dining “area.”  Right."
HANK,"What?  You leave your balls in your wife’s purse, or what?"
WALT JR,What the hell is going on?!
GUS,"Ah, Walter.  You’re right on time. Please... come in."
MARIE,I think you should do whatever you want to do.
SKYLER,#NAME?
HANK,"Walt, just say the word and I’ll take you on a ride-along.  You can watch us knock down a meth lab."
WALT,Maybe.
WALT,There you have it.
WALT JR,"Doesn’t matter -- it’s a provisional.  Look it up!  They changed the law like, ten years ago."
HANK,You sure?  Happy to do it.
WALT,I was thinking it might be nice to have a little family time this weekend.
HANK,Yeah.  Who’s this?
WALT,Nobody’s looking for you.
SKYLER,"So, show me the flaw in it."
HANK,Schrader.
WALT,I’m the one who’s sick --
HANK,Come again?
JESSE,"Not this.  If the cops catch me, I give them what they want most."
WALT JR,"Dad, get off her!  Stop it!"
WALT,Are they here now?
WALT,Yeo You tell me lyx u ia
JESSE,"Yeah, yeah, yeah -- million and a half each, whoop-de-doo.  What’s he getting?  Huh?!"
MARIE,Well...
JESSE,"Talk to my lawyer, alright?  Hey, you hear me?  I got nuthin’ to say."
WALT,I am... awake.
HANK,"Don’t you have any friends?  I mean, Jesus.  Find something better to do!  I don’t need everyone staring at me hangin’ here like a camel’s ball sac."
JESSE,What’re you bringing that for?
JESSE,This is mine just as much as yours! You don’t get to just -- just --
MARIE,I would like --
MIKE,Gonna need you to come with me.
MARIE,We were just having some wine. Would you like a glass?
SKYLER,-- He’s not gonna have a future if he doesn’t get the treatment!
WALT,"I was there and I watched her die. I watched her overdose and choke to death.  I could’ve saved her, but I didn’t."
SKYLER,You tell me.
JESSE,"You don’t give a shit about me! You said I was NO GOOD!  I’m NOTH- ING!  Why would you want ME, huh? You said my meth is ‘inferior,’ right, right?  Hey!  You said my cook was garbage?!  Screw you, man! Screw you!"
GUS,"Walter.  I would like to help you, if I could."
WALT JR,"Yes, sir."
JESSE,Dickhead.
HANK,"Somebody take this, please."
SKYLER,"Um, Walt says he’s not going anywhere."
SKYLER,Me.  I’ll be the Danny.
WALT,I know the moment.
JESSE,"Mr. White, how about you just sit down?"
JESSE,What?  This?
JESSE,Must be Thailand-hot up there. That’s why he likes it.
SKYLER,"Oh, Marie..."
SKYLER,Why don’t you go get your dad.
WALT,"Listen, we’ve got a problem.  A DEA problem!"
WALT,I don’t suppose you just came by to insult me.
GUS,Enjoy your meal.
MARIE,Alright.  So when do we get him walking again?
JESSE,"I know what you’re thinking.  But trust me, it’s not gonna be like it was.  Never gonna be like it was."
SKYLER,"We have to go, Walt."
WALT,"You know, still unpacking.  Finding places for everything."
WALT JR,Dad!
HANK,"Okay, Walt, look at it this way. It’s the bottom of the ninth, bases loaded.  You’re up.  But you got a bum arm -- and you know you can’t hit a homer.  So you can either let the pinch hitter take the bat, or you can hold onto your pride and lose the game.  You get what I’m sayin’?"
MIKE,Where is she?
JESSE,"You ain’t “Welcome Back, Kotter,” so step off.  No speeches."
SKYLER,"Y’know, I’m a bookkeeper -- so I actually, I know what money laundering is."
SKYLER,"Do you have any thought about how we’re going to approach this with Walter, Jr?"
JESSE,Whatever.  Later.
WALT,... That would’ve been perfect.
WALT,"Hanodneay,nswweer'veed. been over this. Asked"
WALT,Our RV.  The one which contains a meth lab?  Which is covered with my fingerprints?!  Ring a bell?
GUS,"I’d like you to hear my offer, notwithstanding."
JESSE,"You know what?  That meth-head stood up to your brother-in-law, alright?  He questioned her five hours and she didn’t give it up. You know how it is you know it? ‘Cause you’re not in prison right now!"
JESSE,"Uh, yeah.  It was."
JESSE,"Little, maybe."
MARIE,"You had me at cheese sticks. You're gonna have to fight me for those, Hank!"
JESSE,"Alright, see ya tomorrow."
SKYLER,What legitimate reasons could there possibly be?
JESSE,"That’s charity, is what that is.  I do all the work, he sits around on his fat ass judging people --"
SKYLER,I’m fine.  Thanks.
MARIE,I’m sure he has his reasons.
GUS,"When you have children, you always have family.  They will always be your priority.  Your responsibility.  And a man..?  A man provides.  And he does it even when he’s not appreciated... or respected... or even loved.  He simply bears up, and he does it. Because he’s a man."
WALT JR,"Dad, just stop and talk to me! Please!"
JESSE,"Need some juice, maybe?"
WALT,A fly.
SKYLER,"And oh, there’s uh, a breakfast bar kinda dealie here, which is nice. And um, the kitchen’s really spacious, and you know... got good appliances, and"
SAUL,"Is this a secure..?  Yes, what’s with the..?"
JESSE,No freakin’ clue.
WALT,You can take your mask off now.
SKYLER,So all this is to say... we have the money.
WALT,Skyler.  Put it down.  Please. We’ll figure everything out...
JESSE,"No.  You flunked me, remember? Prick?  And let me tell you something else -- this shit ain’t chemistry.  This shit is art. Cooking is art.  The shit I cook is the bomb, so don’t be telling me!"
SAUL,"Based on her years of experience in money laundering, I suppose."
SKYLER,Anyway.  This system of his -- he finally got it to work.
SKYLER,"Marie, you will take our money. Use it to take care of Hank."
WALT,Three million.
JESSE,I’m the bad guy.
SKYLER,"If you’re gonna launder money Walt, at least do it right."
MARIE,"Mostly fine, okay...  Well there’s a ringing endorsement."
